Id,Id2,Geography,HousingUnits
1600000US2715418,2715418,"De Graff city, Minnesota",67
1600000US2715454,2715454,"Delano city, Minnesota",1391
1600000US2715472,2715472,"Delavan city, Minnesota",108
1600000US2715544,2715544,"Delhi city, Minnesota",35
1600000US2715616,2715616,"Dellwood city, Minnesota",374
1600000US2715670,2715670,"Denham city, Minnesota",23
1600000US2715706,2715706,"Dennison city, Minnesota",64
1600000US2715724,2715724,"Dent city, Minnesota",80
1600000US2715832,2715832,"Detroit Lakes city, Minnesota",3782
1600000US2715886,2715886,"Dexter city, Minnesota",133
1600000US2715976,2715976,"Dilworth city, Minnesota",1238
1600000US2715994,2715994,"Dodge Center city, Minnesota",859
1600000US2716030,2716030,"Donaldson city, Minnesota",22
1600000US2716084,2716084,"Donnelly city, Minnesota",121
1600000US2716156,2716156,"Doran city, Minnesota",31
1600000US2716264,2716264,"Dover city, Minnesota",174
1600000US2716300,2716300,"Dovray city, Minnesota",36
1600000US2717000,2717000,"Duluth city, Minnesota",36994
1600000US2717090,2717090,"Dumont city, Minnesota",57
1600000US2717126,2717126,"Dundas city, Minnesota",229
1600000US2717144,2717144,"Dundee city, Minnesota",55
1600000US2717180,2717180,"Dunnell city, Minnesota",92
1600000US2717288,2717288,"Eagan city, Minnesota",24390
1600000US2717342,2717342,"Eagle Bend city, Minnesota",284
1600000US2717378,2717378,"Eagle Lake city, Minnesota",663
1600000US2717486,2717486,"East Bethel city, Minnesota",3718
1600000US2717612,2717612,"East Grand Forks city, Minnesota",3108
1600000US2717630,2717630,"East Gull Lake city, Minnesota",709
1600000US2717738,2717738,"Easton city, Minnesota",99
1600000US2717900,2717900,"Echo city, Minnesota",136
1600000US2718116,2718116,"Eden Prairie city, Minnesota",21026
1600000US2718134,2718134,"Eden Valley city, Minnesota",376
1600000US2718152,2718152,"Edgerton city, Minnesota",477
1600000US2718188,2718188,"Edina city, Minnesota",21669
1600000US2718260,2718260,"Effie city, Minnesota",56
1600000US2718368,2718368,"Eitzen city, Minnesota",111
1600000US2718386,2718386,"Elba city, Minnesota",77
1600000US2718440,2718440,"Elbow Lake CDP, Minnesota",62
1600000US2718458,2718458,"Elbow Lake city, Minnesota",624
1600000US2718530,2718530,"Elgin city, Minnesota",324
1600000US2718566,2718566,"Elizabeth city, Minnesota",85
1600000US2718656,2718656,"Elko city, Minnesota",165
1600000US2718674,2718674,"Elk River city, Minnesota",5782
1600000US2718728,2718728,"Elkton city, Minnesota",59
1600000US2718746,2718746,"Ellendale city, Minnesota",260
1600000US2718836,2718836,"Ellsworth city, Minnesota",246
1600000US2718872,2718872,"Elmdale city, Minnesota",46
1600000US2718998,2718998,"Elmore city, Minnesota",338
1600000US2719088,2719088,"Elrosa city, Minnesota",69
1600000US2719142,2719142,"Ely city, Minnesota",1912
1600000US2719160,2719160,"Elysian city, Minnesota",276
1600000US2719286,2719286,"Emily city, Minnesota",876
1600000US2719340,2719340,"Emmons city, Minnesota",191
1600000US2719556,2719556,"Erhard city, Minnesota",73
1600000US2719700,2719700,"Erskine city, Minnesota",250
1600000US2719880,2719880,"Evan city, Minnesota",42
1600000US2719898,2719898,"Evansville city, Minnesota",268
1600000US2719934,2719934,"Eveleth city, Minnesota",1965
1600000US2720078,2720078,"Excelsior city, Minnesota",1254
1600000US2720114,2720114,"Eyota city, Minnesota",614
1600000US2720222,2720222,"Fairfax city, Minnesota",589
1600000US2720330,2720330,"Fairmont city, Minnesota",5036
1600000US2720420,2720420,"Falcon Heights city, Minnesota",2136
1600000US2720546,2720546,"Faribault city, Minnesota",7668
1600000US2720618,2720618,"Farmington city, Minnesota",4233
1600000US2720690,2720690,"Farwell city, Minnesota",30
1600000US2720798,2720798,"Federal Dam city, Minnesota",81
1600000US2720834,2720834,"Felton city, Minnesota",97
1600000US2720906,2720906,"Fergus Falls city, Minnesota",5909
1600000US2720978,2720978,"Fertile city, Minnesota",433
1600000US2721032,2721032,"Fifty Lakes city, Minnesota",515
1600000US2721122,2721122,"Finlayson city, Minnesota",136
1600000US2721158,2721158,"Fisher city, Minnesota",197
1600000US2721266,2721266,"Flensburg city, Minnesota",92
1600000US2721338,2721338,"Floodwood city, Minnesota",290
1600000US2721410,2721410,"Florence city, Minnesota",27
1600000US2721536,2721536,"Foley city, Minnesota",793
1600000US2721608,2721608,"Forada city, Minnesota",118
1600000US2721770,2721770,"Forest Lake city, Minnesota",2897
1600000US2721824,2721824,"Foreston city, Minnesota",148
1600000US2721932,2721932,"Fort Ripley city, Minnesota",35
1600000US2721986,2721986,"Fosston city, Minnesota",739
1600000US2722094,2722094,"Fountain city, Minnesota",137
1600000US2722202,2722202,"Foxhome city, Minnesota",65
1600000US2722364,2722364,"Franklin city, Minnesota",217
1600000US2722472,2722472,"Frazee city, Minnesota",553
1600000US2722526,2722526,"Freeborn city, Minnesota",136
1600000US2722652,2722652,"Freeport city, Minnesota",199
1600000US2722814,2722814,"Fridley city, Minnesota",11504
1600000US2722940,2722940,"Frost city, Minnesota",126
1600000US2722958,2722958,"Fulda city, Minnesota",568
1600000US2722976,2722976,"Funkley city, Minnesota",12
1600000US2723120,2723120,"Garfield city, Minnesota",121
1600000US2723192,2723192,"Garrison city, Minnesota",191
1600000US2723228,2723228,"Garvin city, Minnesota",68
1600000US2723246,2723246,"Gary city, Minnesota",93
1600000US2723300,2723300,"Gaylord city, Minnesota",930
1600000US2723318,2723318,"Gem Lake city, Minnesota",145
1600000US2723354,2723354,"Geneva city, Minnesota",186
1600000US2723444,2723444,"Genola city, Minnesota",27
1600000US2723498,2723498,"Georgetown city, Minnesota",56
1600000US2723660,2723660,"Ghent city, Minnesota",131
1600000US2723678,2723678,"Gibbon city, Minnesota",378
1600000US2723714,2723714,"Gilbert city, Minnesota",900
1600000US2723804,2723804,"Gilman city, Minnesota",87
1600000US2723948,2723948,"Glencoe city, Minnesota",2169
1600000US2724056,2724056,"Glenville city, Minnesota",312
1600000US2724074,2724074,"Glenwood city, Minnesota",1202
1600000US2724182,2724182,"Glyndon city, Minnesota",403
1600000US2724308,2724308,"Golden Valley city, Minnesota",8589
1600000US2724344,2724344,"Gonvick city, Minnesota",154
1600000US2724398,2724398,"Goodhue city, Minnesota",298
1600000US2724470,2724470,"Goodridge city, Minnesota",53
1600000US2724506,2724506,"Good Thunder city, Minnesota",233
1600000US2724524,2724524,"Goodview city, Minnesota",1419
1600000US2724758,2724758,"Graceville city, Minnesota",283
1600000US2724884,2724884,"Granada city, Minnesota",136
1600000US2724992,2724992,"Grand Marais city, Minnesota",722
1600000US2725010,2725010,"Grand Meadow city, Minnesota",407
1600000US2725118,2725118,"Grand Rapids city, Minnesota",3621
1600000US2725280,2725280,"Granite Falls city, Minnesota",1472
1600000US2725334,2725334,"Grant city, Minnesota",1399
1600000US2725424,2725424,"Grasston city, Minnesota",46
1600000US2725604,2725604,"Greenbush city, Minnesota",348
1600000US2725622,2725622,"Greenfield city, Minnesota",824
1600000US2725658,2725658,"Green Isle city, Minnesota",141
1600000US2725874,2725874,"Greenwald city, Minnesota",89
1600000US2725918,2725918,"Greenwood city, Minnesota",297
1600000US2726000,2726000,"Grey Eagle city, Minnesota",164
1600000US2726126,2726126,"Grove City city, Minnesota",271
1600000US2726216,2726216,"Grygla city, Minnesota",128
1600000US2726270,2726270,"Gully city, Minnesota",66
1600000US2726378,2726378,"Hackensack city, Minnesota",187
1600000US2726450,2726450,"Hadley city, Minnesota",38
1600000US2726576,2726576,"Hallock city, Minnesota",586
1600000US2726612,2726612,"Halma city, Minnesota",38
1600000US2726630,2726630,"Halstad city, Minnesota",295
1600000US2726666,2726666,"Hamburg city, Minnesota",209
1600000US2726738,2726738,"Ham Lake city, Minnesota",4208
1600000US2726828,2726828,"Hammond city, Minnesota",84
1600000US2726864,2726864,"Hampton city, Minnesota",159
1600000US2726936,2726936,"Hancock city, Minnesota",325
1600000US2726972,2726972,"Hanley Falls city, Minnesota",123
1600000US2726990,2726990,"Hanover city, Minnesota",456
1600000US2727008,2727008,"Hanska city, Minnesota",196
1600000US2727098,2727098,"Harding city, Minnesota",43
1600000US2727116,2727116,"Hardwick city, Minnesota",104
1600000US2727188,2727188,"Harmony city, Minnesota",500
1600000US2727278,2727278,"Harris city, Minnesota",393
1600000US2727404,2727404,"Hartland city, Minnesota",144
1600000US2727530,2727530,"Hastings city, Minnesota",6758
1600000US2727566,2727566,"Hatfield city, Minnesota",25
1600000US2727746,2727746,"Hawley city, Minnesota",787
1600000US2727872,2727872,"Hayfield city, Minnesota",519
1600000US2727944,2727944,"Hayward city, Minnesota",116
1600000US2728016,2728016,"Hazel Run city, Minnesota",31
1600000US2728124,2728124,"Hector city, Minnesota",532
1600000US2728214,2728214,"Heidelberg city, Minnesota",27
1600000US2728394,2728394,"Henderson city, Minnesota",367
1600000US2728430,2728430,"Hendricks city, Minnesota",360
1600000US2728484,2728484,"Hendrum city, Minnesota",139
1600000US2728520,2728520,"Henning city, Minnesota",406
1600000US2728574,2728574,"Henriette city, Minnesota",38
1600000US2728646,2728646,"Herman city, Minnesota",237
1600000US2728682,2728682,"Hermantown city, Minnesota",2822
1600000US2728700,2728700,"Heron Lake city, Minnesota",322
1600000US2728754,2728754,"Hewitt city, Minnesota",122
1600000US2728790,2728790,"Hibbing city, Minnesota",8037
1600000US2729096,2729096,"Hill City city, Minnesota",391
1600000US2729150,2729150,"Hillman city, Minnesota",20
1600000US2729204,2729204,"Hills city, Minnesota",244
1600000US2729258,2729258,"Hilltop city, Minnesota",426
1600000US2729294,2729294,"Hinckley city, Minnesota",614
1600000US2729402,2729402,"Hitterdal city, Minnesota",102
1600000US2729474,2729474,"Hoffman city, Minnesota",307
1600000US2729510,2729510,"Hokah city, Minnesota",278
1600000US2729582,2729582,"Holdingford city, Minnesota",297
1600000US2729618,2729618,"Holland city, Minnesota",112
1600000US2729636,2729636,"Hollandale city, Minnesota",137
1600000US2729672,2729672,"Holloway city, Minnesota",59
1600000US2729870,2729870,"Holt city, Minnesota",41
1600000US2730140,2730140,"Hopkins city, Minnesota",8390
1600000US2730230,2730230,"Houston city, Minnesota",459
1600000US2730284,2730284,"Howard Lake city, Minnesota",759
1600000US2730302,2730302,"Hoyt Lakes city, Minnesota",995
1600000US2730392,2730392,"Hugo city, Minnesota",2174
1600000US2730446,2730446,"Humboldt city, Minnesota",38
1600000US2730644,2730644,"Hutchinson city, Minnesota",5667
1600000US2730806,2730806,"Ihlen city, Minnesota",44
1600000US2730842,2730842,"Independence city, Minnesota",1115
1600000US2731040,2731040,"International Falls city, Minnesota",3264
1600000US2731076,2731076,"Inver Grove Heights city, Minnesota",11457
1600000US2731094,2731094,"Iona city, Minnesota",91
1600000US2731238,2731238,"Iron Junction city, Minnesota",44
1600000US2731274,2731274,"Ironton city, Minnesota",263
1600000US2731328,2731328,"Isanti city, Minnesota",834
1600000US2731472,2731472,"Isle city, Minnesota",414
1600000US2731526,2731526,"Ivanhoe city, Minnesota",341
1600000US2731562,2731562,"Jackson city, Minnesota",1659
1600000US2731706,2731706,"Janesville city, Minnesota",848
1600000US2731760,2731760,"Jasper city, Minnesota",308
1600000US2731796,2731796,"Jeffers city, Minnesota",200
1600000US2731832,2731832,"Jenkins city, Minnesota",123
1600000US2732012,2732012,"Johnson city, Minnesota",16
1600000US2732174,2732174,"Jordan city, Minnesota",1423
1600000US2732372,2732372,"Kandiyohi city, Minnesota",228
1600000US2732444,2732444,"Karlstad city, Minnesota",394
1600000US2732462,2732462,"Kasota city, Minnesota",279
1600000US2732498,2732498,"Kasson city, Minnesota",1711
1600000US2732570,2732570,"Keewatin city, Minnesota",550
1600000US2732606,2732606,"Kelliher city, Minnesota",140
1600000US2732642,2732642,"Kellogg city, Minnesota",177
1600000US2732732,2732732,"Kennedy city, Minnesota",131
1600000US2732750,2732750,"Kenneth city, Minnesota",29
