Id,Id2,Geography,HousingUnits,MOE
1600000US2730140,2730140,"Hopkins city, Minnesota",8396,343
1600000US2730230,2730230,"Houston city, Minnesota",473,47
1600000US2730284,2730284,"Howard Lake city, Minnesota",921,68
1600000US2730302,2730302,"Hoyt Lakes city, Minnesota",1039,61
1600000US2730392,2730392,"Hugo city, Minnesota",5212,213
1600000US2730446,2730446,"Humboldt city, Minnesota",25,13
1600000US2730644,2730644,"Hutchinson city, Minnesota",6341,238
1600000US2730806,2730806,"Ihlen city, Minnesota",29,9
1600000US2730842,2730842,"Independence city, Minnesota",1290,97
1600000US2730950,2730950,"Inger CDP, Minnesota",71,31
1600000US2731040,2731040,"International Falls city, Minnesota",3293,159
1600000US2731076,2731076,"Inver Grove Heights city, Minnesota",13792,317
1600000US2731094,2731094,"Iona city, Minnesota",77,17
1600000US2731238,2731238,"Iron Junction city, Minnesota",42,17
1600000US2731274,2731274,"Ironton city, Minnesota",316,55
1600000US2731328,2731328,"Isanti city, Minnesota",2304,176
1600000US2731472,2731472,"Isle city, Minnesota",551,51
1600000US2731526,2731526,"Ivanhoe city, Minnesota",310,43
1600000US2731562,2731562,"Jackson city, Minnesota",1603,81
1600000US2731706,2731706,"Janesville city, Minnesota",887,70
1600000US2731760,2731760,"Jasper city, Minnesota",327,37
1600000US2731796,2731796,"Jeffers city, Minnesota",193,29
1600000US2731832,2731832,"Jenkins city, Minnesota",174,38
1600000US2732012,2732012,"Johnson city, Minnesota",5,7
1600000US2732174,2732174,"Jordan city, Minnesota",2163,151
1600000US2732372,2732372,"Kandiyohi city, Minnesota",219,48
1600000US2732444,2732444,"Karlstad city, Minnesota",403,39
1600000US2732462,2732462,"Kasota city, Minnesota",325,37
1600000US2732498,2732498,"Kasson city, Minnesota",2432,126
1600000US2732570,2732570,"Keewatin city, Minnesota",537,59
1600000US2732606,2732606,"Kelliher city, Minnesota",143,25
1600000US2732642,2732642,"Kellogg city, Minnesota",194,33
1600000US2732732,2732732,"Kennedy city, Minnesota",108,21
1600000US2732750,2732750,"Kenneth city, Minnesota",27,13
1600000US2732768,2732768,"Kensington city, Minnesota",170,34
1600000US2732786,2732786,"Kent city, Minnesota",37,15
1600000US2732840,2732840,"Kenyon city, Minnesota",889,66
1600000US2732876,2732876,"Kerkhoven city, Minnesota",348,49
1600000US2732912,2732912,"Kerrick city, Minnesota",55,17
1600000US2732966,2732966,"Kettle River city, Minnesota",96,24
1600000US2733056,2733056,"Kiester city, Minnesota",284,44
1600000US2733110,2733110,"Kilkenny city, Minnesota",145,64
1600000US2733164,2733164,"Kimball city, Minnesota",353,43
1600000US2733236,2733236,"Kinbrae city, Minnesota",13,12
1600000US2733344,2733344,"Kingston city, Minnesota",64,17
1600000US2733416,2733416,"Kinney city, Minnesota",96,22
1600000US2733866,2733866,"La Crescent city, Minnesota",2159,107
1600000US2733920,2733920,"Lafayette city, Minnesota",259,32
1600000US2734100,2734100,"Lake Benton city, Minnesota",429,34
1600000US2734136,2734136,"Lake Bronson city, Minnesota",149,22
1600000US2734172,2734172,"Lake City city, Minnesota",2563,125
1600000US2734190,2734190,"Lake Crystal city, Minnesota",1103,96
1600000US2734244,2734244,"Lake Elmo city, Minnesota",2911,117
1600000US2734316,2734316,"Lakefield city, Minnesota",799,76
1600000US2734370,2734370,"Lake George CDP, Minnesota",182,37
1600000US2734478,2734478,"Lake Henry city, Minnesota",35,19
1600000US2734622,2734622,"Lakeland city, Minnesota",739,47
1600000US2734658,2734658,"Lakeland Shores city, Minnesota",134,20
1600000US2734676,2734676,"Lake Lillian city, Minnesota",118,23
1600000US2734784,2734784,"Lake Park city, Minnesota",380,46
1600000US2734865,2734865,"Lake St. Croix Beach city, Minnesota",507,53
1600000US2734928,2734928,"Lake Shore city, Minnesota",1199,89
1600000US2735180,2735180,"Lakeville city, Minnesota",19393,357
1600000US2735198,2735198,"Lake Wilson city, Minnesota",143,22
1600000US2735288,2735288,"Lamberton city, Minnesota",423,37
1600000US2735378,2735378,"Lancaster city, Minnesota",212,30
1600000US2735414,2735414,"Landfall city, Minnesota",324,71
1600000US2735450,2735450,"Lanesboro city, Minnesota",462,47
1600000US2735558,2735558,"Lansing CDP, Minnesota",82,22
1600000US2735612,2735612,"Laporte city, Minnesota",107,30
1600000US2735648,2735648,"La Prairie city, Minnesota",310,62
1600000US2735702,2735702,"La Salle city, Minnesota",39,18
1600000US2735720,2735720,"Lastrup city, Minnesota",64,16
1600000US2735738,2735738,"Lauderdale city, Minnesota",1126,110
1600000US2736134,2736134,"Le Center city, Minnesota",954,77
1600000US2736404,2736404,"Lengby city, Minnesota",58,18
1600000US2736494,2736494,"Leonard city, Minnesota",16,12
1600000US2736530,2736530,"Leonidas city, Minnesota",42,13
1600000US2736548,2736548,"Leota CDP, Minnesota",83,21
1600000US2736620,2736620,"Le Roy city, Minnesota",460,56
1600000US2736728,2736728,"Lester Prairie city, Minnesota",694,68
1600000US2736746,2736746,"Le Sueur city, Minnesota",1892,106
1600000US2736800,2736800,"Lewiston city, Minnesota",619,52
1600000US2736818,2736818,"Lewisville city, Minnesota",100,16
1600000US2736836,2736836,"Lexington city, Minnesota",848,71
1600000US2737016,2737016,"Lilydale city, Minnesota",442,44
1600000US2737304,2737304,"Lindstrom city, Minnesota",2111,217
1600000US2737322,2737322,"Lino Lakes city, Minnesota",6464,209
1600000US2737412,2737412,"Lismore city, Minnesota",106,19
1600000US2737448,2737448,"Litchfield city, Minnesota",2965,104
1600000US2737502,2737502,"Little Canada city, Minnesota",4694,271
1600000US2737556,2737556,"Little Falls city, Minnesota",4011,193
1600000US2737592,2737592,"Littlefork city, Minnesota",333,70
1600000US2737656,2737656,"Little Rock CDP, Minnesota",420,84
1600000US2737970,2737970,"Long Beach city, Minnesota",258,41
1600000US2738006,2738006,"Long Lake city, Minnesota",795,43
1600000US2738060,2738060,"Long Prairie city, Minnesota",1420,144
1600000US2738114,2738114,"Longville city, Minnesota",124,29
1600000US2738150,2738150,"Lonsdale city, Minnesota",1404,98
1600000US2738222,2738222,"Loretto city, Minnesota",280,39
1600000US2738258,2738258,"Louisburg city, Minnesota",31,14
1600000US2738366,2738366,"Lowry city, Minnesota",117,24
1600000US2738420,2738420,"Lucan city, Minnesota",81,22
1600000US2738546,2738546,"Lutsen CDP, Minnesota",377,99
1600000US2738564,2738564,"Luverne city, Minnesota",2299,84
1600000US2738654,2738654,"Lyle city, Minnesota",223,39
1600000US2738708,2738708,"Lynd city, Minnesota",198,26
1600000US2738888,2738888,"Mabel city, Minnesota",408,51
1600000US2738996,2738996,"McGrath city, Minnesota",54,17
1600000US2739014,2739014,"McGregor city, Minnesota",267,44
1600000US2739050,2739050,"McIntosh city, Minnesota",252,38
1600000US2739140,2739140,"McKinley city, Minnesota",44,15
1600000US2739230,2739230,"Madelia city, Minnesota",1027,72
1600000US2739266,2739266,"Madison city, Minnesota",893,43
1600000US2739320,2739320,"Madison Lake city, Minnesota",484,50
1600000US2739338,2739338,"Magnolia city, Minnesota",106,26
1600000US2739392,2739392,"Mahnomen city, Minnesota",629,55
1600000US2739394,2739394,"Mahnomen CDP, Minnesota",99,31
1600000US2739428,2739428,"Mahtomedi city, Minnesota",2823,145
1600000US2739446,2739446,"Mahtowa CDP, Minnesota",157,28
1600000US2739716,2739716,"Manchester city, Minnesota",24,10
1600000US2739806,2739806,"Manhattan Beach city, Minnesota",70,23
1600000US2739878,2739878,"Mankato city, Minnesota",16283,241
1600000US2739986,2739986,"Mantorville city, Minnesota",464,62
1600000US2740166,2740166,"Maple Grove city, Minnesota",24647,394
1600000US2740220,2740220,"Maple Lake city, Minnesota",866,82
1600000US2740256,2740256,"Maple Plain city, Minnesota",761,74
1600000US2740310,2740310,"Mapleton city, Minnesota",675,54
1600000US2740346,2740346,"Mapleview city, Minnesota",101,22
1600000US2740382,2740382,"Maplewood city, Minnesota",15934,376
1600000US2740418,2740418,"Marble city, Minnesota",322,54
1600000US2740526,2740526,"Marietta city, Minnesota",117,35
1600000US2740562,2740562,"Marine on St. Croix city, Minnesota",340,41
1600000US2740688,2740688,"Marshall city, Minnesota",5707,160
1600000US2740814,2740814,"Martin Lake CDP, Minnesota",363,68
1600000US2741138,2741138,"Mayer city, Minnesota",591,51
1600000US2741210,2741210,"Maynard city, Minnesota",178,39
1600000US2741282,2741282,"Mazeppa city, Minnesota",350,51
1600000US2741372,2741372,"Meadowlands city, Minnesota",68,19
1600000US2741426,2741426,"Medford city, Minnesota",476,50
1600000US2741462,2741462,"Medicine Lake city, Minnesota",187,37
1600000US2741480,2741480,"Medina city, Minnesota",1651,87
1600000US2741534,2741534,"Meire Grove city, Minnesota",87,24
1600000US2741570,2741570,"Melrose city, Minnesota",1307,109
1600000US2741660,2741660,"Menahga city, Minnesota",662,74
1600000US2741678,2741678,"Mendota city, Minnesota",88,20
1600000US2741696,2741696,"Mendota Heights city, Minnesota",4758,143
1600000US2741714,2741714,"Mentor city, Minnesota",113,23
1600000US2741804,2741804,"Merrifield CDP, Minnesota",77,35
1600000US2741912,2741912,"Middle River city, Minnesota",161,23
1600000US2742010,2742010,"Midway CDP, Minnesota",7,4
1600000US2742092,2742092,"Miesville city, Minnesota",75,24
1600000US2742110,2742110,"Milaca city, Minnesota",1320,133
1600000US2742146,2742146,"Milan city, Minnesota",194,26
1600000US2742254,2742254,"Millerville city, Minnesota",78,46
1600000US2742290,2742290,"Millville city, Minnesota",75,24
1600000US2742362,2742362,"Milroy city, Minnesota",116,23
1600000US2742398,2742398,"Miltona city, Minnesota",158,33
1600000US2743000,2743000,"Minneapolis city, Minnesota",179731,1116
1600000US2743036,2743036,"Minneiska city, Minnesota",46,10
1600000US2743126,2743126,"Minneota city, Minnesota",665,49
1600000US2743144,2743144,"Minnesota City city, Minnesota",72,18
1600000US2743198,2743198,"Minnesota Lake city, Minnesota",336,34
1600000US2743252,2743252,"Minnetonka city, Minnesota",23343,436
1600000US2743270,2743270,"Minnetonka Beach city, Minnesota",266,37
1600000US2743306,2743306,"Minnetrista city, Minnesota",2399,144
1600000US2743540,2743540,"Mizpah city, Minnesota",61,20
1600000US2743720,2743720,"Montevideo city, Minnesota",2523,122
1600000US2743738,2743738,"Montgomery city, Minnesota",1194,99
1600000US2743774,2743774,"Monticello city, Minnesota",5004,208
